Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,ARTH,101,,001,Ways of Seeing: Introduction to Visual Studies,Emily Cadger;Jacqueline Witkowski;Julia Orell;Nuno Porto,112,80.401785714,7.479051611,94.0,56.0,0,0.0,1.0,2,2.0,7.0,11.0,22,30,21,16
UBCV,2020,W,ARTH,101,,OVERALL,Ways of Seeing: Introduction to Visual Studies,,112,80.401785714,7.479051611,94.0,56.0,0,0.0,1.0,2,2.0,7.0,11.0,22,30,21,16
UBCV,2020,W,ARTH,102,,001,Crisis and Contradiction in Art and the Built Environment,Jacqueline Witkowski;Sameena Sameena;Saygin Salgirli,110,80.4,13.771530266,96.0,0.0,3,0.0,3.0,1,0.0,5.0,9.0,10,26,29,24
UBCV,2020,W,ARTH,102,,OVERALL,Crisis and Contradiction in Art and the Built Environment,,110,80.4,13.771530266,96.0,0.0,3,0.0,3.0,1,0.0,5.0,9.0,10,26,29,24
UBCV,2020,W,ARTH,225,,001,Art in Europe to the Sixteenth Century,Sameena Sameena;Saygin Salgirli,55,82.418181818,11.449876126,94.0,28.0,1,0.0,1.0,3,0.0,0.0,4.0,4,12,12,18
UBCV,2020,W,ARTH,225,,OVERALL,Art in Europe to the Sixteenth Century,,55,82.418181818,11.449876126,94.0,28.0,1,0.0,1.0,3,0.0,0.0,4.0,4,12,12,18
UBCV,2020,W,ARTH,226,,001,"Art, Colonialism, and Indigeneity",Ivana Vranic;Joseph Monteyne;Monica Perez Montelongo,37,71.297297297,22.792377947,93.0,0.0,4,1.0,0.0,2,2.0,3.0,0.0,3,12,6,4
UBCV,2020,W,ARTH,226,,OVERALL,"Art, Colonialism, and Indigeneity",,37,71.297297297,22.792377947,93.0,0.0,4,1.0,0.0,2,2.0,3.0,0.0,3,12,6,4
UBCV,2020,W,ARTH,227,,001,What is Modern Art?,Catherine Volmensky;Joseph Monteyne;Marisa Carolina Sanchez;Marisa Sanchez,45,81.911111111,7.713100491,96.0,62.0,0,0.0,0.0,1,1.0,3.0,4.0,7,10,11,8
UBCV,2020,W,ARTH,227,,OVERALL,What is Modern Art?,,45,81.911111111,7.713100491,96.0,62.0,0,0.0,0.0,1,1.0,3.0,4.0,7,10,11,8
UBCV,2020,W,ARTH,230,,001,"Art & Feminism(s): Histories, Lineages, Legacies",Erin Silver;Jessica Law,58,79.224137931,16.36646454,95.0,0.0,2,1.0,0.0,1,0.0,0.0,9.0,7,17,8,13
UBCV,2020,W,ARTH,230,,OVERALL,"Art & Feminism(s): Histories, Lineages, Legacies",,58,79.224137931,16.36646454,95.0,0.0,2,1.0,0.0,1,0.0,0.0,9.0,7,17,8,13
UBCV,2020,W,ARTH,253,,001,Asian Architecture: Sacred and Urban Spaces,Ignacio Alberto Adriasola Munoz,35,81.742857143,6.246612527,90.0,60.0,0,0.0,0.0,1,0.0,3.0,1.0,1,18,10,1
UBCV,2020,W,ARTH,253,,OVERALL,Asian Architecture: Sacred and Urban Spaces,,35,81.742857143,6.246612527,90.0,60.0,0,0.0,0.0,1,0.0,3.0,1.0,1,18,10,1
UBCV,2020,W,ARTH,300,,001,Seminar on Methods and Approaches in Art History,Alison Ariss;Jessica Law;Rachel Boate,57,74.807017544,12.879161736,92.0,27.0,4,1.0,0.0,1,1.0,8.0,7.0,15,10,8,2
UBCV,2020,W,ARTH,300,,OVERALL,Seminar on Methods and Approaches in Art History,,57,74.807017544,12.879161736,92.0,27.0,4,1.0,0.0,1,1.0,8.0,7.0,15,10,8,2
UBCV,2020,W,ARTH,310,,001,Art and the Christian Transformation of the Roman Empire,Alison Ariss;Georgios Makris,43,73.465116279,9.917154059,90.0,44.0,1,1.0,0.0,2,5.0,8.0,7.0,5,6,6,2
UBCV,2020,W,ARTH,310,,OVERALL,Art and the Christian Transformation of the Roman Empire,,43,73.465116279,9.917154059,90.0,44.0,1,1.0,0.0,2,5.0,8.0,7.0,5,6,6,2
UBCV,2020,W,ARTH,312,,001,Medieval Art in the Age of Monasticism,Georgios Makris,40,75.125,15.82628048,95.0,0.0,2,0.0,0.0,2,2.0,6.0,5.0,2,11,8,2
UBCV,2020,W,ARTH,312,,OVERALL,Medieval Art in the Age of Monasticism,,40,75.125,15.82628048,95.0,0.0,2,0.0,0.0,2,2.0,6.0,5.0,2,11,8,2
UBCV,2020,W,ARTH,319,,001,The Archaeology of Ancient Iraq and Syria: Babylon and Beyond,Kevin Fisher,11,75.0,17.725687575,92.0,41.0,1,1.0,1.0,0,0.0,0.0,0.0,0,4,1,3
UBCV,2020,W,ARTH,319,,OVERALL,The Archaeology of Ancient Iraq and Syria: Babylon and Beyond,,11,75.0,17.725687575,92.0,41.0,1,1.0,1.0,0,0.0,0.0,0.0,0,4,1,3
UBCV,2020,W,ARTH,321,,001,Public and Private Bodies: Italian Renaissance Art and Culture,Joseph Monteyne;Laura Aguilera Cassis,75,85.28,8.220869948,100.0,60.0,0,0.0,0.0,2,2.0,2.0,3.0,6,13,17,30
UBCV,2020,W,ARTH,321,,OVERALL,Public and Private Bodies: Italian Renaissance Art and Culture,,75,85.28,8.220869948,100.0,60.0,0,0.0,0.0,2,2.0,2.0,3.0,6,13,17,30
