Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2022,W,BAMA,503,,001,New Product Development,Timothy Silk,45,81.4,81.0,80.0,83.0,87.0,76.0,0,0,0,0,0,0,0,6,32,7,0
UBCV,2022,W,BAMA,504,,001,Integrated Marketing Communication,Ann Stone,13,83.5,84.0,81.0,86.0,88.0,78.0,0,0,0,0,0,0,0,2,5,6,0
UBCV,2022,W,BAMA,504,,002,Integrated Marketing Communication,Ann Stone,30,82.9,82.5,80.3,85.0,92.0,75.0,0,0,0,0,0,0,1,5,14,7,3
UBCV,2022,W,BAMA,505,,001,Business Development,Nathanael Arney,35,83.3,83.0,82.0,85.0,87.0,80.0,0,0,0,0,0,0,0,0,25,10,0
UBCV,2022,W,BAMA,505,,DD1,Business Development,Nathanael Arney,47,83.6,84.0,82.0,85.0,87.0,72.0,0,0,0,0,0,0,1,1,27,18,0
UBCV,2022,W,BAMA,505,,DD2,Business Development,Nathanael Arney,44,83.3,83.0,82.0,84.0,86.0,80.0,0,0,0,0,0,0,0,0,34,10,0
UBCV,2022,W,BAMA,505,,MM1,Business Development,Jacqueline Wong,41,78.4,79.0,74.0,84.0,93.0,68.0,0,0,0,0,0,9,3,11,11,6,1
UBCV,2022,W,BAMA,506,,001,Consumer Behaviour,Yann Cornil,34,81.9,82.0,79.3,85.0,90.0,71.0,0,0,0,0,0,1,2,6,15,6,4
UBCV,2022,W,BAMA,506,,821,Consumer Behaviour,Lisa Cavanaugh,18,81.5,82.0,80.0,85.0,88.0,73.0,0,0,0,0,0,0,2,2,8,6,0
UBCV,2022,W,BAMA,508,,001,Marketing Research,Nathanael Arney,28,84.2,84.5,83.0,86.0,88.0,80.0,0,0,0,0,0,0,0,0,14,14,0
UBCV,2022,W,BAMA,508,,821,Marketing Research,Yanwen Wang,18,82.6,82.5,78.3,89.5,91.0,71.0,0,0,0,0,0,1,2,4,3,3,5
UBCV,2022,W,BAMA,508,,MM1,Marketing Research,Nathanael Arney,42,84.0,83.0,82.3,85.0,89.0,80.0,0,0,0,0,0,0,0,0,24,18,0
UBCV,2022,W,BAMA,513,,001,Digital Marketing,Victor Tang,43,91.4,92.0,90.0,92.5,95.0,89.0,0,0,0,0,0,0,0,0,0,4,39
UBCV,2022,W,BAMA,514,,001,Brand Management,Timothy Silk,50,83.1,83.0,81.0,85.0,90.0,74.0,0,0,0,0,0,0,1,5,24,19,1
UBCV,2022,W,BAMA,517,,BA1,Data Driven Marketing,Mark Chen,39,87.5,88.0,85.0,90.0,92.0,81.0,0,0,0,0,0,0,0,0,7,20,12
UBCV,2022,W,BAMA,517,,BA2,Data Driven Marketing,Mark Chen,39,87.5,87.0,85.0,90.0,97.0,79.0,0,0,0,0,0,0,0,1,6,19,13
UBCV,2022,W,BAMA,519,,101,Building Brands with Purpose,Joanne Turner,25,82.0,82.0,81.0,83.0,85.0,80.0,0,0,0,0,0,0,0,0,23,2,0
UBCV,2022,W,BAMA,520,,001,Customer Analytics,Miremad Soleymanian,19,83.5,84.0,81.0,87.0,93.0,70.0,0,0,0,0,0,1,1,2,6,6,3
UBCV,2022,W,BAMA,520,,BA1,Customer Analytics,Yanwen Wang,39,80.9,79.0,74.5,87.0,93.0,69.0,0,0,0,0,0,2,10,9,4,10,4
UBCV,2022,W,BAMA,520,,BA2,Customer Analytics,Yanwen Wang,39,82.7,83.0,79.0,87.0,94.0,69.0,0,0,0,0,0,2,4,5,13,8,7
UBCV,2022,W,BAMA,550,,001,Marketing,Jo Andrea Hoegg,44,81.2,81.0,80.0,83.0,85.0,77.0,0,0,0,0,0,0,0,9,32,3,0
UBCV,2022,W,BAMA,550,,002,Marketing,Jo Andrea Hoegg,44,81.5,81.0,80.0,84.0,86.0,78.0,0,0,0,0,0,0,0,7,32,5,0
UBCV,2022,W,BAMA,550,,301,Marketing,Timothy Silk,58,82.7,83.0,80.0,86.0,92.0,70.0,0,0,0,0,0,1,3,7,22,21,4
UBCV,2022,W,BAMA,550,,MM1,Marketing,Rui Jorge Basto Da Silva,36,79.6,83.0,77.8,86.0,90.0,0.0,1,0,0,0,0,1,4,6,9,14,1
UBCV,2022,W,BAMA,580,A,BA1,Topics in Marketing,Yann Cornil,39,82.2,83.0,80.0,84.0,92.0,69.0,0,0,0,0,0,1,1,7,21,7,2
UBCV,2022,W,BAMA,580,A,BA2,Topics in Marketing,Yann Cornil,39,82.6,83.0,80.0,85.5,90.0,72.0,0,0,0,0,0,0,3,4,18,11,3
UBCV,2022,W,BAMA,580,B,001,Topics in Marketing,Tamar Milne,24,82.3,81.0,78.0,85.3,94.0,71.0,0,0,0,0,0,2,1,5,8,3,5
UBCV,2022,W,BAMA,580,C,001,Topics in Marketing,David Miller;Timothy Silk,41,84.4,84.0,82.0,87.0,91.0,77.0,0,0,0,0,0,0,0,2,20,14,5
