Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2019,W,GWST,100,,001,"Gender, Race, Sexuality, and Power I: An Introduction",Andrea Keber;Deirdre Gaine;Devin Gaine;Ilya Parkins;Kaytlyn Barkved,172,69.447674419,14.1789996,94.0,1.0,11,10,9,17,18,20,24,23,21,13,6
UBCO,2019,W,GWST,100,,OVERALL,"Gender, Race, Sexuality, and Power I: An Introduction",,172,69.447674419,14.1789996,94.0,1.0,11,10,9,17,18,20,24,23,21,13,6
UBCO,2019,W,GWST,110,,101,"Gender, Race, Sexuality, and Power II: Everyday Life",Deirdre Gaine;Devin Gaine;Heather Latimer;Kenya Gutteridge;Sumeet Sekhon,38,76.55263157899999,12.4372965,97.0,26.0,,,,,,,,7,12,,
UBCO,2019,W,GWST,110,,OVERALL,"Gender, Race, Sexuality, and Power II: Everyday Life",,38,76.55263157899999,12.4372965,97.0,26.0,,,,,,,,7,12,,
UBCO,2019,W,GWST,215,,001,Gender and Popular Culture,Heather Latimer,40,78.525,9.920162064,97.0,34.0,,,,,,,8,9,7,9,
UBCO,2019,W,GWST,215,,OVERALL,Gender and Popular Culture,,40,78.525,9.920162064,97.0,34.0,,,,,,,8,9,7,9,
UBCO,2019,W,GWST,223,,001,Critical Sexuality Studies,Heather Latimer,19,80.84210526300001,5.776034375,90.0,71.0,,,,,,,,,6,,
UBCO,2019,W,GWST,223,,OVERALL,Critical Sexuality Studies,,19,80.84210526300001,5.776034375,90.0,71.0,,,,,,,,,6,,
UBCO,2019,W,GWST,235,,101,Laughing Feminisms: Gender and Humour,Alison Conway,20,75.95,6.0825462120000005,87.0,64.0,,,,,,,5,5,5,,
UBCO,2019,W,GWST,235,,OVERALL,Laughing Feminisms: Gender and Humour,,20,75.95,6.0825462120000005,87.0,64.0,,,,,,,5,5,5,,
UBCO,2019,W,GWST,334,,101,Feminist Research Methodologies,Ilya Parkins,22,82.0,5.69042638,89.0,68.0,,,,,,,,,7,8,
UBCO,2019,W,GWST,334,,OVERALL,Feminist Research Methodologies,,22,82.0,5.69042638,89.0,68.0,,,,,,,,,7,8,
UBCO,2019,W,GWST,335,,001,Feminist Theory in the Humanities,Alison Conway,18,76.388888889,6.175272215,87.0,67.0,,,,,,,,5,,,
UBCO,2019,W,GWST,335,,OVERALL,Feminist Theory in the Humanities,,18,76.388888889,6.175272215,87.0,67.0,,,,,,,,5,,,
UBCO,2019,W,GWST,419,,001,"Gender, Dress, and Fashion: Histories and Theories",Ilya Parkins,28,71.607142857,14.438475568,89.0,30.0,,,,,,,,5,6,,
UBCO,2019,W,GWST,419,,OVERALL,"Gender, Dress, and Fashion: Histories and Theories",,28,71.607142857,14.438475568,89.0,30.0,,,,,,,,5,6,,
UBCO,2019,W,GWST,440,,101,Politics of Reproduction,Heather Latimer,28,82.821428571,5.805830858999999,91.0,64.0,,,,,,,,,13,5,5
UBCO,2019,W,GWST,440,,OVERALL,Politics of Reproduction,,28,82.821428571,5.805830858999999,91.0,64.0,,,,,,,,,13,5,5
