Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,S,ANTH,100,,922,Introduction to Cultural Anthropology,David C Ryniker;David Ryniker;Jennifer Kramer,26,72.538461538,12.59914527,92.0,32.0,1,0.0,1,3,5,1,2,6,2.0,3,2
UBCV,2019,S,ANTH,100,,OVERALL,Introduction to Cultural Anthropology,,26,72.538461538,12.59914527,92.0,32.0,1,0.0,1,3,5,1,2,6,2.0,3,2
UBCV,2019,S,ANTH,227,,921,Introduction to Medical Anthropology,Christopher Smith;Daniel Manson;Vinay Ramnath Kamat,46,72.782608696,14.511165117,93.0,0.0,1,2.0,2,2,4,3,9,11,6.0,3,3
UBCV,2019,S,ANTH,227,,OVERALL,Introduction to Medical Anthropology,,46,72.782608696,14.511165117,93.0,0.0,1,2.0,2,2,4,3,9,11,6.0,3,3
UBCV,2019,S,ANTH,308,,921,Ethnography of Sub-Saharan Africa,Daniel Manson;Vinay Ramnath Kamat,35,72.885714286,15.20598069,92.0,5.0,1,1.0,1,2,7,2,1,5,10.0,4,1
UBCV,2019,S,ANTH,308,,OVERALL,Ethnography of Sub-Saharan Africa,,35,72.885714286,15.20598069,92.0,5.0,1,1.0,1,2,7,2,1,5,10.0,4,1
UBCV,2019,S,ANTH,378,,002,Anthropology of Media,Amirpouyan Shiva;Ana Ines Vivaldi Pasqua;Ana Vivaldi Pasqua;Basant Ahmed Sayed,90,77.166666667,10.125338113,93.0,0.0,1,0.0,0,1,1,9,19,24,23.0,9,3
UBCV,2019,S,ANTH,378,,OVERALL,Anthropology of Media,,90,77.166666667,10.125338113,93.0,0.0,1,0.0,0,1,1,9,19,24,23.0,9,3
UBCV,2019,S,ANTH,403,G,001,Ethnography of Special Areas,Francesca Pegorer;Sabina Magliocco,13,90.846153846,4.669870695,96.0,79.0,0,0.0,0,0,0,0,0,1,0.0,3,9
UBCV,2019,S,ANTH,403,G,OVERALL,Ethnography of Special Areas,,13,90.846153846,4.669870695,96.0,79.0,0,0.0,0,0,0,0,0,1,0.0,3,9
UBCV,2019,S,ANTH,480,B,001,Urban Ethnographic Field School (UEFS),Patrick Moore;Thomas Kemple,8,79.125,11.192312413,90.0,53.0,0,1.0,0,0,0,0,0,1,4.0,1,1
UBCV,2019,S,ANTH,480,B,OVERALL,Urban Ethnographic Field School (UEFS),,8,79.125,11.192312413,90.0,53.0,0,1.0,0,0,0,0,0,1,4.0,1,1
