Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,GERM,100,,001,Beginners' German I,Sara Pashan,26,81.538461538,10.741436661,95.0,48.0,,,,,,,5,,,,9
UBCV,2017,W,GERM,100,,002,Beginners' German I,Sara Pashan,29,77.379310345,12.069482747999999,92.0,39.0,,,,,,5,,,,8,
UBCV,2017,W,GERM,100,,003,Beginners' German I,Uma Kumar,25,76.12,12.952863261,93.0,29.0,,,,,,,,5,6,,
UBCV,2017,W,GERM,100,,004,Beginners' German I,Florian Faller,28,82.535714286,9.028687377999999,95.0,57.0,,,,,,,,8,,5,7
UBCV,2017,W,GERM,100,,005,Beginners' German I,Ihar Maslenikau,26,71.73076923100001,16.896289989,94.0,33.0,,,,,,,,,,,
UBCV,2017,W,GERM,100,,006,Beginners' German I,Florian Faller,28,83.785714286,8.390281604,96.0,62.0,,,,,,,,,6,8,8
UBCV,2017,W,GERM,100,,007,Beginners' German I,Adelheid O'Brien,20,78.05,14.666377589000001,97.0,50.0,,,,,,,,,,,7
UBCV,2017,W,GERM,100,,008,Beginners' German I,Sara Pashan,29,79.448275862,8.356290218,92.0,60.0,,,,,,,5,5,,10,
UBCV,2017,W,GERM,100,,009,Beginners' German I,Gela Struch,30,76.133333333,13.384843032000001,96.0,55.0,,,,,,,,,,,8
UBCV,2017,W,GERM,100,,010,Beginners' German I,Jason Lieblang,25,86.44,10.340373946,99.0,62.0,,,,,,,,,,,12
UBCV,2017,W,GERM,100,,011,Beginners' German I,Jason Lieblang,29,80.517241379,9.19091434,95.0,52.0,,,,,,,,6,,8,5
UBCV,2017,W,GERM,100,,012,Beginners' German I,Gaby Pailer,24,81.0,9.301706248,93.0,56.0,,,,,,,,,6,7,
UBCV,2017,W,GERM,100,,013,Beginners' German I,Uma Kumar,29,77.620689655,10.994848771,92.0,55.0,,,,,,,,,,5,6
UBCV,2017,W,GERM,100,,014,Beginners' German I,Gela Struch;Ingrid Petro,19,82.473684211,10.205491011,97.0,56.0,,,,,,,,,,5,5
UBCV,2017,W,GERM,100,,015,Beginners' German I,Andrea Dahlmann-Resing;Gela Struch,25,74.36,21.065137075,94.0,0.0,,,,,,,,,,5,5
UBCV,2017,W,GERM,100,,016,Beginners' German I,Ihar Maslenikau,29,79.482758621,11.086093894000001,96.0,47.0,,,,,,,,,,6,6
UBCV,2017,W,GERM,100,,017,Beginners' German I,Daniela Hempen,26,67.846153846,24.160616395999998,96.0,0.0,,,,,,,,,,,5
UBCV,2017,W,GERM,100,,018,Beginners' German I,Adelheid O'Brien,29,79.275862069,12.264631355,97.0,52.0,,,,,,,,,,6,7
UBCV,2017,W,GERM,100,,019,Beginners' German I,Daniela Hempen,30,77.2,13.055319962,96.0,50.0,,,,,,,,,,8,
UBCV,2017,W,GERM,100,,020,Beginners' German I,Dorothee Leesing;Gela Struch,25,79.92,10.973149047,97.0,53.0,,,,,,,5,,,,6
UBCV,2017,W,GERM,100,,901,Beginners' German I,Gela Struch;Ingrid Petro,22,83.409090909,7.481145131,95.0,63.0,,,,,,,,,7,7,
UBCV,2017,W,GERM,100,,902,Beginners' German I,Daniela Hempen,25,77.96,10.678951259,94.0,54.0,,,,,,,6,,,6,
UBCV,2017,W,GERM,100,,OVERALL,Beginners' German I,,578,78.756055363,13.133536510999999,99.0,0.0,11,12,21,21,29,42,63,58,86,115,120
UBCV,2017,W,GERM,110,,001,Beginners' German II,Anna Westpfahl;Gela Struch,10,82.4,10.319345371,95.0,64.0,,,,,,,,,,,
UBCV,2017,W,GERM,110,,003,Beginners' German II,Jason Lieblang,30,79.1,11.567940239,95.0,48.0,,,,,,,,5,5,,6
UBCV,2017,W,GERM,110,,004,Beginners' German II,Florian Faller,24,77.416666667,11.412870944000002,90.0,51.0,,,,,,,,5,,5,
UBCV,2017,W,GERM,110,,006,Beginners' German II,Florian Faller,24,75.916666667,12.873689605,97.0,47.0,,,,,,,,5,6,,
