Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,CENS,202,,001,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Thomas Salumets,44,75.409090909,13.772770882,87.0,0.0,,,,,,,7,10,8,11,
UBCV,2017,W,CENS,202,,002,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Ilinca Iurascu,44,82.454545455,9.151069439,94.0,50.0,,,,,,,1,4,12,15,7
UBCV,2017,W,CENS,202,,003,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Markus Hallensleben,35,80.0,9.514694517999999,96.0,61.0,,,,,5,,6,5,5,5,7
UBCV,2017,W,CENS,202,,004,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Jason Lieblang,44,75.409090909,8.592365951,89.0,54.0,,,,,5,,7,9,11,6,
UBCV,2017,W,CENS,202,,006,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Thomas Salumets,38,79.026315789,5.324531915,88.0,68.0,,,,,,,7,6,16,6,
UBCV,2017,W,CENS,202,,OVERALL,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",,205,78.375609756,10.066951865,96.0,0.0,,,,,15,9,28,34,52,43,14
UBCV,2017,W,CENS,303,A,001,Representations of the Holocaust (in English),Anna Maria Switzer;Anna Switzer,39,80.25641025600001,7.869721952999999,95.0,65.0,,,,,,,5,8,8,8,5
UBCV,2017,W,CENS,303,A,99A,Representations of the Holocaust (in English),Anja Nowak;Bozena Karwowska,40,80.725,4.950977629,90.0,67.0,,,,,,,,7,20,7,
UBCV,2017,W,CENS,303,A,99C,Representations of the Holocaust (in English),Bozena Karwowska,48,78.375,8.948136618,92.0,51.0,,,,,,5,,5,13,11,
UBCV,2017,W,CENS,303,A,OVERALL,Representations of the Holocaust (in English),,127,79.692913386,7.565074105,95.0,51.0,,,,,9,8,10,20,41,26,10
UBCV,2017,W,CENS,307,,001,Witches: Myth and Reality,Eric Ottenbacher;Kyle Frackman,42,84.571428571,10.359731744,96.0,32.0,,,,,,,,,11,14,10
UBCV,2017,W,CENS,307,,OVERALL,Witches: Myth and Reality,,42,84.571428571,10.359731744,96.0,32.0,,,,,,,,,11,14,10
