Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,S,BUSI,100,,921,Micro Foundations of Real Estate Economics,,63,60.428571429,33.025754508,95.0,0.0,19,0.0,0.0,0.0,2,2,7,7.0,11,6,9
UBCV,2017,S,BUSI,100,,OVERALL,Micro Foundations of Real Estate Economics,,63,60.428571429,33.025754508,95.0,0.0,19,0.0,0.0,0.0,2,2,7,7.0,11,6,9
UBCV,2017,S,BUSI,101,,921,Capital Markets and Real Estate,,49,71.428571429,21.422340364,94.0,0.0,7,0.0,0.0,2.0,3,3,6,6.0,12,4,6
UBCV,2017,S,BUSI,101,,OVERALL,Capital Markets and Real Estate,,49,71.428571429,21.422340364,94.0,0.0,7,0.0,0.0,2.0,3,3,6,6.0,12,4,6
UBCV,2017,S,BUSI,111,,921,British Columbia Real Estate Law and Real Estate Ethics,,24,58.375,33.915255641,100.0,3.0,7,0.0,0.0,1.0,1,2,1,3.0,6,0,3
UBCV,2017,S,BUSI,111,,OVERALL,British Columbia Real Estate Law and Real Estate Ethics,,24,58.375,33.915255641,100.0,3.0,7,0.0,0.0,1.0,1,2,1,3.0,6,0,3
UBCV,2017,S,BUSI,112,,921,Canadian Real Property Law and Real Estate Ethics,,29,61.24137931,29.350900658,92.0,0.0,6,0.0,0.0,4.0,3,1,5,1.0,5,2,2
UBCV,2017,S,BUSI,112,,OVERALL,Canadian Real Property Law and Real Estate Ethics,,29,61.24137931,29.350900658,92.0,0.0,6,0.0,0.0,4.0,3,1,5,1.0,5,2,2
UBCV,2017,S,BUSI,121,,921,Foundations of Real Estate Mathematics,,83,62.060240964,27.112390021,92.0,0.0,24,0.0,0.0,9.0,1,7,6,7.0,13,13,3
UBCV,2017,S,BUSI,121,,OVERALL,Foundations of Real Estate Mathematics,,83,62.060240964,27.112390021,92.0,0.0,24,0.0,0.0,9.0,1,7,6,7.0,13,13,3
UBCV,2017,S,BUSI,293,,922,Introductory Financial Accounting,Aziz Rajwani;Scott Sinclair,71,64.901408451,22.57125538,97.0,1.0,12,4.0,5.0,6.0,4,9,4,4.0,10,8,5
UBCV,2017,S,BUSI,293,,OVERALL,Introductory Financial Accounting,,71,64.901408451,22.57125538,97.0,1.0,12,4.0,5.0,6.0,4,9,4,4.0,10,8,5
UBCV,2017,S,BUSI,294,,921,Introductory Management Accounting,Aziz Rajwani,64,67.125,20.176601252,99.0,5.0,10,4.0,4.0,3.0,4,10,4,2.0,12,5,6
UBCV,2017,S,BUSI,294,,971,Introductory Management Accounting,David Chan,41,71.853658537,16.423399428,96.0,5.0,2,2.0,0.0,6.0,4,5,7,1.0,7,0,7
UBCV,2017,S,BUSI,294,,OVERALL,Introductory Management Accounting,,105,68.971428571,18.860549559,99.0,5.0,12,6.0,4.0,9.0,8,15,11,3.0,19,5,13
UBCV,2017,S,BUSI,300,,921,Urban and Real Estate Economics,,64,63.28125,23.188988047,92.0,0.0,9,0.0,0.0,8.0,12,10,10,4.0,7,2,2
UBCV,2017,S,BUSI,300,,OVERALL,Urban and Real Estate Economics,,64,63.28125,23.188988047,92.0,0.0,9,0.0,0.0,8.0,12,10,10,4.0,7,2,2
UBCV,2017,S,BUSI,330,,921,Foundations of Real Estate Appraisal,,223,61.237668161,27.280690097,91.0,0.0,55,0.0,0.0,10.0,10,32,31,37.0,22,22,4
