Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,PERS,100,,001,Basic Persian I,Fahimeh Zolfi-Sistani,12,83.75,11.63947047,95.0,60.0,0,0,0,1,1,0,1,0,2,2,5
UBCV,2016,W,PERS,100,,OVERALL,Basic Persian I,,12,83.75,11.63947047,95.0,60.0,0,0,0,1,1,0,1,0,2,2,5
UBCV,2016,W,PERS,104,,001,Persian Reading and Writing for Persian-Speaking Students,Fahimeh Zolfi-Sistani,8,80.375,12.80555125,95.0,60.0,0,0,0,1,1,0,1,0,1,2,2
UBCV,2016,W,PERS,104,,OVERALL,Persian Reading and Writing for Persian-Speaking Students,,8,80.375,12.80555125,95.0,60.0,0,0,0,1,1,0,1,0,1,2,2
UBCV,2016,W,PERS,200,,001,Intermediate Persian I,Fahimeh Zolfi-Sistani,10,77.1,15.63081003,95.0,60.0,0,0,0,3,1,1,0,0,0,1,4
UBCV,2016,W,PERS,200,,OVERALL,Intermediate Persian I,,10,77.1,15.63081003,95.0,60.0,0,0,0,3,1,1,0,0,0,1,4
UBCV,2016,W,PERS,201,,001,Intermediate Persian II,Fahimeh Zolfi-Sistani,6,89.16666667,5.344779384,95.0,84.0,0,0,0,0,0,0,0,0,2,1,3
UBCV,2016,W,PERS,201,,OVERALL,Intermediate Persian II,,6,89.16666667,5.344779384,95.0,84.0,0,0,0,0,0,0,0,0,2,1,3
UBCV,2016,W,PERS,400,,001,Persian Short Story for Native and Heritage Speakers,Fahimeh Zolfi-Sistani,11,86.81818182,9.568888983,93.0,60.0,0,0,0,1,0,0,0,0,0,4,6
UBCV,2016,W,PERS,400,,OVERALL,Persian Short Story for Native and Heritage Speakers,,11,86.81818182,9.568888983,93.0,60.0,0,0,0,1,0,0,0,0,0,4,6
