Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,S,CIVL,200,,98A,Engineering and Sustainable Development,Afrina Zerin Disha;Ahmad Shafiq;Negar Roghanian;Sina Amini Niaki;Susan Nesbit,214,77.05140187,9.415907671,93.0,13.0,3,1,4,6,2,22,28,46,68,28.0,6
UBCV,2016,S,CIVL,200,,OVERALL,Engineering and Sustainable Development,,214,77.05140187,9.415907671,93.0,13.0,3,1,4,6,2,22,28,46,68,28.0,6
UBCV,2016,S,CIVL,235,,941,Plane Surveying,Armin Bebam Zadeh,159,79.40251572,4.780126974,90.0,67.0,0,0,0,0,2,10,17,53,51,25.0,1
UBCV,2016,S,CIVL,235,,OVERALL,Plane Surveying,,159,79.40251572,4.780126974,90.0,67.0,0,0,0,0,2,10,17,53,51,25.0,1
UBCV,2016,S,CIVL,541,,941,Environmental Fluid Mechanics,Gregory Lawrence;Kelly Elise Graves;Kelly Graves,11,95.45454546,4.94699174,100.0,83.0,0,0,0,0,0,0,0,0,1,0.0,10
UBCV,2016,S,CIVL,541,,OVERALL,Environmental Fluid Mechanics,,11,95.45454546,4.94699174,100.0,83.0,0,0,0,0,0,0,0,0,1,0.0,10
UBCV,2016,S,CIVL,598,G,941,Topics in Civil Engineering,Luis Galindo;Luis Galindo Ruiz;Steven Weijs,9,88.0,3.391164992,93.0,84.0,0,0,0,0,0,0,0,0,3,4.0,2
UBCV,2016,S,CIVL,598,G,OVERALL,Topics in Civil Engineering,,9,88.0,3.391164992,93.0,84.0,0,0,0,0,0,0,0,0,3,4.0,2
UBCV,2016,S,CIVL,599,C,941,M.A.Sc. Thesis,,10,86.8,3.155242551,90.0,80.0,0,0,0,0,0,0,0,0,1,6.0,3
UBCV,2016,S,CIVL,599,C,OVERALL,M.A.Sc. Thesis,,12,86.83333333,2.979729498,90.0,80.0,0,0,0,0,0,0,0,0,1,8.0,3
