Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,S,ENGL,112,,001,Studies in Composition,Shona Harrison,30,74.766666667,8.589019989,87.0,43.0,1,0.0,1,0,3.0,3,4,11,6,1,0
UBCO,2018,S,ENGL,112,,002,Studies in Composition,Jon Vickery,23,70.043478261,12.099880769,89.0,28.0,1,0.0,1,1,5.0,7,3,0,4,1,0
UBCO,2018,S,ENGL,112,,003,Studies in Composition,Catherine Shaw,28,75.464285714,13.090800114,95.0,44.0,1,0.0,2,2,4.0,3,2,2,4,2,6
UBCO,2018,S,ENGL,112,,005,Studies in Composition,Lainie Senger,19,87.157894737,8.700339444,97.0,63.0,0,0.0,0,1,0.0,1,0,0,2,7,8
UBCO,2018,S,ENGL,112,,101,Studies in Composition,Thomas Andrews,33,73.96969697,10.073122804,98.0,54.0,0,1.0,1,3,4.0,4,6,4,5,3,2
UBCO,2018,S,ENGL,112,,102,Studies in Composition,Thomas Andrews,28,69.392857143,14.345832498,91.0,26.0,2,1.0,2,4,0.0,5,5,4,1,2,2
UBCO,2018,S,ENGL,112,,OVERALL,Studies in Composition,,164,74.768292683,12.338576128,98.0,26.0,5,2.0,7,11,16.0,23,20,22,22,18,18
UBCO,2018,S,ENGL,150,,001,Introduction to Literary Genre,Alexandria Krause,31,70.064516129,10.382470752,87.0,51.0,0,2.0,4,3,5.0,5,2,2,5,3,0
UBCO,2018,S,ENGL,150,,OVERALL,Introduction to Literary Genre,,31,70.064516129,10.382470752,87.0,51.0,0,2.0,4,3,5.0,5,2,2,5,3,0
UBCO,2018,S,ENGL,151,,101,Critical Studies in Literature,Daryl Ritchot,30,65.233333333,16.168686922,81.0,0.0,2,4.0,4,1,3.0,3,3,6,4,0,0
UBCO,2018,S,ENGL,151,,OVERALL,Critical Studies in Literature,,30,65.233333333,16.168686922,81.0,0.0,2,4.0,4,1,3.0,3,3,6,4,0,0
UBCO,2018,S,ENGL,270,,001,Topics in Women's Literature,Jodey Castricano,7,71.857142857,14.904457627,85.0,45.0,1,0.0,1,0,0.0,0,0,2,2,1,0
UBCO,2018,S,ENGL,270,,OVERALL,Topics in Women's Literature,,7,71.857142857,14.904457627,85.0,45.0,1,0.0,1,0,0.0,0,0,2,2,1,0
UBCO,2018,S,ENGL,364,A,001,19th-Century Studies,C Castricano;Jodey Castricano,15,75.266666667,7.535313688,88.0,59.0,0,0.0,1,0,2.0,0,3,5,3,1,0
UBCO,2018,S,ENGL,364,A,OVERALL,19th-Century Studies,,15,75.266666667,7.535313688,88.0,59.0,0,0.0,1,0,2.0,0,3,5,3,1,0
