Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,RELG,101,,001,"Introduction to the Western (Abrahamic) Religions: Judaism, Christianity, and Islam",Gregg Gardner;Lindsay Fraughton;Ryan Daniel Schroeder;Ryan Schroeder,70,75.5,13.22026332,93.0,20.0,4,0,0.0,4.0,3,5,11,15,13,11,4
UBCV,2019,W,RELG,101,,002,"Introduction to the Western (Abrahamic) Religions: Judaism, Christianity, and Islam",George Anthony Keddie;Rivkah Gillian Glass;Rivkah Glass;Yoel Levin,47,76.87234043,10.38313227,96.0,43.0,1,1,1.0,1.0,4,3,4,13,9,7,3
UBCV,2019,W,RELG,101,,OVERALL,"Introduction to the Western (Abrahamic) Religions: Judaism, Christianity, and Islam",,117,76.05128205,12.13135447,96.0,20.0,5,1,1.0,5.0,7,8,15,28,22,18,7
UBCV,2019,W,RELG,201,,001,Near Eastern and Biblical Mythology,Brianne Lynn;Sara Milstein;Susan Braund,66,78.60606061,7.172337432,93.0,49.0,1,0,1.0,0.0,1,2,18,12,18,11,2
UBCV,2019,W,RELG,201,,002,Near Eastern and Biblical Mythology,Kathryn Kelley;Martin Monroe;Martin Willis Monroe;Matthew Naylor,55,80.41818182,12.35986772,100.0,52.0,0,4,0.0,1.0,1,9,3,4,10,8,15
UBCV,2019,W,RELG,201,,OVERALL,Near Eastern and Biblical Mythology,,121,79.42975207,9.870685932,100.0,49.0,1,4,1.0,1.0,2,11,21,16,28,19,17
UBCV,2019,W,RELG,203,,001,Scriptures of the Near East,George Anthony Keddie;Kurtis Peters;Rivkah Gillian Glass;Rivkah Glass;Sara Milstein;Youcef Soufi,50,70.46,13.86554973,94.0,21.0,2,4,3.0,0.0,9,8,6,6,4,6,2
UBCV,2019,W,RELG,203,,002,Scriptures of the Near East,George Anthony Keddie;Kurtis Peters;Youcef Soufi,50,77.24,14.55539734,94.0,0.0,1,2,0.0,1.0,3,4,5,8,11,10,5
UBCV,2019,W,RELG,203,,OVERALL,Scriptures of the Near East,,100,73.85,14.54729313,94.0,0.0,3,6,3.0,1.0,12,12,11,14,15,16,7
UBCV,2019,W,RELG,209,,001,Eden to Exile: Introduction to the Hebrew Bible,Kurtis Peters;Sara Milstein,32,80.875,14.71174646,97.0,17.0,1,0,1.0,0.0,1,2,2,3,5,11,6
UBCV,2019,W,RELG,209,,OVERALL,Eden to Exile: Introduction to the Hebrew Bible,,32,80.875,14.71174646,97.0,17.0,1,0,1.0,0.0,1,2,2,3,5,11,6
UBCV,2019,W,RELG,306,,001,Archaeology and the Bible,Martin Monroe;Martin Willis Monroe;Thomas Schneider,32,79.6875,14.05848957,94.0,40.0,2,0,0.0,0.0,4,3,1,2,4,6,10
UBCV,2019,W,RELG,306,,OVERALL,Archaeology and the Bible,,32,79.6875,14.05848957,94.0,40.0,2,0,0.0,0.0,4,3,1,2,4,6,10
UBCV,2019,W,RELG,307,,001,"Sex, Lies, and Violence in the Hebrew Bible",Dora Gao;Kurtis Peters;Sara Milstein,62,78.38709677,6.149383119,89.0,61.0,0,0,0.0,1.0,2,9,4,18,18,10,0
UBCV,2019,W,RELG,307,,OVERALL,"Sex, Lies, and Violence in the Hebrew Bible",,62,78.38709677,6.149383119,89.0,61.0,0,0,0.0,1.0,2,9,4,18,18,10,0
UBCV,2019,W,RELG,317,,001,"The Origins of Christianity: Social, Religious, and Political Milieux",George Anthony Keddie,24,80.45833333,10.42980331,98.0,63.0,0,0,0.0,1.0,2,2,5,1,5,2,6
UBCV,2019,W,RELG,317,,OVERALL,"The Origins of Christianity: Social, Religious, and Political Milieux",,24,80.45833333,10.42980331,98.0,63.0,0,0,0.0,1.0,2,2,5,1,5,2,6
UBCV,2019,W,RELG,330,,001,The Origins of Judaism,Gregg Gardner,16,86.6875,8.451577762,97.0,68.0,0,0,0.0,0.0,0,1,1,1,2,2,9
UBCV,2019,W,RELG,330,,OVERALL,The Origins of Judaism,,16,86.6875,8.451577762,97.0,68.0,0,0,0.0,0.0,0,1,1,1,2,2,9
UBCV,2019,W,RELG,414,,001,The Gospels and the Historical Jesus,Robert Cousland,28,80.71428571,6.911381611,90.0,67.0,0,0,0.0,0.0,2,2,2,5,6,9,2
UBCV,2019,W,RELG,414,,OVERALL,The Gospels and the Historical Jesus,,28,80.71428571,6.911381611,90.0,67.0,0,0,0.0,0.0,2,2,2,5,6,9,2
UBCV,2019,W,RELG,475,A,001,Topics in Religion,George Anthony Keddie;Gregg Gardner,13,85.61538462,7.030154829,93.0,73.0,0,0,0.0,0.0,0,0,2,1,2,2,6
UBCV,2019,W,RELG,475,A,OVERALL,Topics in Religion,,13,85.61538462,7.030154829,93.0,73.0,0,0,0.0,0.0,0,0,2,1,2,2,6
UBCV,2019,W,RELG,503,A,001,Topics in the Post-Biblical Christian Tradition,George Anthony Keddie,6,87.16666667,8.773064839,94.0,74.0,0,0,0.0,0.0,0,0,1,1,0,0,4
UBCV,2019,W,RELG,503,A,OVERALL,Topics in the Post-Biblical Christian Tradition,,6,87.16666667,8.773064839,94.0,74.0,0,0,0.0,0.0,0,0,1,1,0,0,4
