Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,CPSC,100,,101,Computational Thinking,Aksh Aggarwal;Arden Phoebe Allen;Carmen Jiawen Xu;Ivan Beschastnikh;Karin Kermani;Martin Felipe Pastor;Mohammad Khamseh;Mohammad Saei Khamseh;Paul Alexander Hendrik Bucci;Rachel Pottinger;Ripudaman Nigam;Ryan Nicolas Lam;Zhi Ting Yang,166,80.253012048,11.12174324,95.0,0.0,2,1.0,4.0,3.0,6.0,8.0,16,20.0,40.0,37,29
UBCV,2019,W,CPSC,100,,102,Computational Thinking,Oluwakemi Ola,122,80.631147541,9.398611485,96.0,19.0,1,0.0,1.0,1.0,3.0,7.0,16,18.0,28.0,33,14
UBCV,2019,W,CPSC,100,,201,Computational Thinking,Aksh Aggarwal;Arden Phoebe Allen;Carmen Jiawen Xu;Jessica Hei-Man Wong;Jessica Wong;Karin Kermani,85,84.858823529,11.954430282,96.0,38.0,3,0.0,1.0,2.0,3.0,1.0,2,3.0,12.0,21,37
UBCV,2019,W,CPSC,100,,OVERALL,Computational Thinking,,373,81.426273458,10.926098591,96.0,0.0,6,1.0,6.0,6.0,12.0,16.0,34,41.0,80.0,91,80
UBCV,2019,W,CPSC,103,,101,Introduction to Systematic Program Design,Akshat Thakur;Angela Chang;Angela Hung;Ashish Chopra;Benjamin Kai-Nan Chang;Chantelle Twynstra;Chris-Andra Akelia Mcintosh;Courtney Taylor Hermary;Emili Gubskaya;Hala Hawatmeh;Li Yi Goh;Mariana Paspuel Paredes;Mariana Yanaina Paspuel Paredes;Matthew Dietrich;Mehrdad Oveisi-Fordoei;Milan Tiwana;Pearl Ayem;Sherwyn D'Souza;Steven Wolfman;Sungwon Kim;Tiffany Tzu-Jung Huang;Xiao Dong Su,236,82.43220339,17.729638037,99.0,0.0,26,0.0,1.0,2.0,7.0,6.0,8,8.0,26.0,39,113
UBCV,2019,W,CPSC,103,,102,Introduction to Systematic Program Design,Steven Wolfman,220,82.009090909,15.623127368,99.0,20.0,18,0.0,2.0,1.0,6.0,8.0,14,20.0,23.0,41,87
UBCV,2019,W,CPSC,103,,201,Introduction to Systematic Program Design,Aidan Mathewson;Akshat Thakur;Angela Hung;Basima Spindari;Benjamin Kai-Nan Chang;Chantelle Twynstra;Chris-Andra Akelia Mcintosh;Emili Gubskaya;Herman Muller;Ivan Beschastnikh;Jessica Prinz;Kristine Gonzales;Mariana Paspuel Paredes;Mariana Yanaina Paspuel Paredes;Matthew Dietrich;Milan Tiwana;Pearl Ayem;Steven Wolfman;Suzanne Joanna Maria Geerts;Tiffany Tzu-Jung Huang,269,89.914498141,13.600514896,100.0,0.0,6,1.0,0.0,2.0,3.0,6.0,7,5.0,24.0,19,196
UBCV,2019,W,CPSC,103,,202,Introduction to Systematic Program Design,Karina Mochetti De Magalhaes;Mohammad Mostafa Darwish;Steven Wolfman,180,90.238888889,11.229134039,99.0,28.0,2,2.0,1.0,1.0,3.0,2.0,2,8.0,16.0,15,128
UBCV,2019,W,CPSC,103,,OVERALL,Introduction to Systematic Program Design,,905,86.106077348,15.361492792,100.0,0.0,52,3.0,4.0,6.0,19.0,22.0,31,41.0,89.0,114,524
UBCV,2019,W,CPSC,107,,201,Systematic Program Design,Ayan Das;Chloe Curry;Dao Minh Phuong Nguyen;Das Ayan;Juliette Link;Katherine Liang;Lara Marie Lampe;Meghan Allen;Michael De Marco;Phuong Dao Minh Nguyen;Phuong Nguyen;Ryan Mehri;Saffrin Granby;Sherwyn D'Souza;Zhe Li,151,72.847682119,23.222617809,98.0,0.0,12,5.0,9.0,6.0,9.0,10.0,11,11.0,24.0,19,35
