Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,S,CHEM,120,,921,Structure and Bonding in Chemistry (Lecture),Don Mayder;Jingwei Yun;Robert Thomson,126,69.746031746,16.098167105,96.0,9.0,14,5,11,9,14,9,12,13,9,17,13
UBCV,2020,S,CHEM,120,,OVERALL,Structure and Bonding in Chemistry (Lecture),,126,69.746031746,16.098167105,96.0,9.0,14,5,11,9,14,9,12,13,9,17,13
UBCV,2020,S,CHEM,121,,921,Structure and Bonding in Chemistry,Don Mayder;Jingwei Yun;Jose Rodriguez Nunez;Robert Kenneth Thomson;Robert Thomson,88,68.204545455,10.648143857,90.0,18.0,,,9,13,7,22,14,5,12,,
UBCV,2020,S,CHEM,121,,OVERALL,Structure and Bonding in Chemistry,,88,68.204545455,10.648143857,90.0,18.0,,,9,13,7,22,14,5,12,,
UBCV,2020,S,CHEM,123,,921,"Thermodynamics, Kinetics and Organic Chemistry",Andrea Terpstra;Erin Lindenberg;Jerome Lozada;Jianxiong Yang;Katherine Krause,12,68.833333333,6.027713772999999,76.0,62.0,,,,5,,,5,,,,
UBCV,2020,S,CHEM,123,,OVERALL,"Thermodynamics, Kinetics and Organic Chemistry",,12,68.833333333,6.027713772999999,76.0,62.0,,,,5,,,5,,,,
UBCV,2020,S,CHEM,130,,921,"Thermodynamics, Kinetics and Organic Chemistry (Lecture)",Andrea Terpstra;Erin Lindenberg;Jerome Lozada;Jianxiong Yang;Katherine Krause,159,71.51572327,15.370057751,98.0,15.0,12,3.0,12,11,5,26,24,14,29,8,15
UBCV,2020,S,CHEM,130,,OVERALL,"Thermodynamics, Kinetics and Organic Chemistry (Lecture)",,219,71.57534246600001,15.300882455,100.0,15.0,16,6,19,14,10,38,27,16,36,12,25
UBCV,2020,S,CHEM,130,,V01,"Thermodynamics, Kinetics and Organic Chemistry (Lecture)",Alina Cook;Haiming Luo;Nigare Raheem;Priya Lekhi,60,71.733333333,15.243633477000001,100.0,34.0,4,3.0,7,3,5,12,3,2,7,4,10
UBCV,2020,S,CHEM,233,,921,Organic Chemistry for the Biological Sciences,Jaclyn Stewart;Jan Gustowski;Jason Wickenden;Leo Liu;Lily Southcott;Tamara Kunz;Trevor Bolduc;Vani Verma,424,71.504716981,15.250159133,100.0,18.0,28,27,33,29,28,54,39,32,71,23,60
UBCV,2020,S,CHEM,233,,OVERALL,Organic Chemistry for the Biological Sciences,,424,71.504716981,15.250159133,100.0,18.0,28,27,33,29,28,54,39,32,71,23,60
