Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2022,S,ECON,101,,001,Principles of Microeconomics,Camille Simardone,73,80.5,82.0,73.0,90.0,96.0,45.0,2,1,0,4,0,9,11,3,10,11,22
UBCO,2022,S,ECON,101,,101,Principles of Microeconomics,Khan Islam,63,63.6,65.0,55.5,72.5,92.0,0.0,4,11,5,7,9,8,7,0,8,0,4
UBCO,2022,S,ECON,102,,001,Principles of Macroeconomics,Tazul Islam,40,64.1,67.0,57.0,76.0,95.0,0.0,5,2,5,3,6,1,7,7,2,1,1
UBCO,2022,S,ECON,102,,101,Principles of Macroeconomics,Tazul Islam;Noriko Ozawa,59,68.9,70.0,63.0,78.5,92.0,21.0,5,5,1,5,9,5,7,8,7,6,1
UBCO,2022,S,ECON,295,,101,Managerial Economics,Khan Islam,45,64.6,65.0,59.0,73.0,84.0,23.0,3,3,8,5,7,7,4,4,4,0,0
UBCO,2022,S,ECON,320,,001,Introduction to Mathematical Economics,Md Zabid Iqbal,30,67.9,71.0,64.3,80.0,95.0,0.0,3,1,2,1,5,3,4,3,3,3,2
UBCO,2022,S,ECON,345,,001,Money and Banking,Khan Islam,34,73.5,72.0,69.3,81.0,91.0,50.0,0,1,1,3,3,7,6,1,9,1,2
UBCO,2022,S,ECON,345,,101,Money and Banking,Md Zabid Iqbal,37,71.1,73.0,64.0,82.0,94.0,26.0,2,1,2,3,5,4,2,6,6,3,3
UBCO,2022,S,ECON,360,,001,Labour Economics,Khan Islam,38,69.6,71.5,62.0,78.0,88.0,46.0,1,1,4,6,4,3,6,8,4,1,0
UBCO,2022,S,ECON,371,,001,Economics of the Environment,Md Zabid Iqbal,35,68.2,68.0,57.5,80.0,93.0,33.0,3,1,7,4,0,4,4,2,4,1,5
UBCO,2022,S,ECON,372,,101,Natural Resource Economics,Md Zabid Iqbal,35,70.7,73.0,64.0,80.5,90.0,42.0,1,5,1,1,3,3,6,3,8,3,1
UBCO,2022,S,ECON,391,M,001,Topics in Economics,Camille Simardone,33,77.8,83.0,73.0,86.0,96.0,26.0,2,1,0,1,1,1,6,1,10,5,5
