Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,CELL,501,,001,Cell and Developmental Biology Research Literature,Christopher Loewen;Douglas Allan;Shernaz Bamji,8,89.125,4.853202183,95.0,80.0,0,0,0,0,0,0,0,0,,,
UBCV,2014,W,CELL,501,,OVERALL,Cell and Developmental Biology Research Literature,,8,89.125,4.853202183,95.0,80.0,0,0,0,0,0,0,0,0,,,
UBCV,2014,W,CELL,503,,001,Current Topics in Cellular Communication,Calvin Roskelley,14,87.85714286,3.324897751,93.0,82.0,0,0,0,0,0,0,0,0,2.0,6,6
UBCV,2014,W,CELL,503,,OVERALL,Current Topics in Cellular Communication,,14,87.85714286,3.324897751,93.0,82.0,0,0,0,0,0,0,0,0,2.0,6,6
UBCV,2014,W,CELL,504,,001,Current Topics in Cytoskeleton and Cell Motility,A Wayne Vogl,7,89.57142857,3.644957378,95.0,86.0,0,0,0,0,0,0,0,0,0,,
UBCV,2014,W,CELL,504,,OVERALL,Current Topics in Cytoskeleton and Cell Motility,,7,89.57142857,3.644957378,95.0,86.0,0,0,0,0,0,0,0,0,0,,
UBCV,2014,W,CELL,506,,001,Fluorescence Microscopy,Kurt Haas,10,92.7,3.020301677,97.0,88.0,0,0,0,0,0,0,0,0,0,2.0,8
UBCV,2014,W,CELL,506,,OVERALL,Fluorescence Microscopy,,10,92.7,3.020301677,97.0,88.0,0,0,0,0,0,0,0,0,0,2.0,8
UBCV,2014,W,CELL,507,,001,Special Techniques and Protocols in Cell and Developmental Biology,Tully Michael Underhill,12,90.58333333,2.843120352,95.0,86.0,0,0,0,0,0,0,0,0,0,5,7
UBCV,2014,W,CELL,507,,OVERALL,Special Techniques and Protocols in Cell and Developmental Biology,,12,90.58333333,2.843120352,95.0,86.0,0,0,0,0,0,0,0,0,0,5,7
UBCV,2014,W,CELL,508,,001,Molecular Genetic Analysis,Susanne Michelle Clee,6,87.16666667,2.786873995,90.0,84.0,0,0,0,0,0,0,0,0,,,
UBCV,2014,W,CELL,508,,OVERALL,Molecular Genetic Analysis,,6,87.16666667,2.786873995,90.0,84.0,0,0,0,0,0,0,0,0,,,
UBCV,2014,W,CELL,509,,001,Cell Systems Biology,Guy Tanentzapf,8,87.375,2.133909892,92.0,85.0,0,0,0,0,0,0,0,0,0,7,1.0
UBCV,2014,W,CELL,509,,OVERALL,Cell Systems Biology,,8,87.375,2.133909892,92.0,85.0,0,0,0,0,0,0,0,0,0,7,1.0
