Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PORT,101,,101,First-Year Portuguese I,Jamille Barreto,24,78.125,10.250397658999999,100.0,54.0,,,,,,,,8,,,
UBCV,2014,W,PORT,101,,OVERALL,First-Year Portuguese I,,24,78.125,10.250397658999999,100.0,54.0,,,,,,,,8,,,
UBCV,2014,W,PORT,102,,201,First-Year Portuguese II,Jamille Barreto,23,80.913043478,9.572275513,100.0,58.0,,,,,,,,8,,5,
UBCV,2014,W,PORT,102,,OVERALL,First-Year Portuguese II,,23,80.913043478,9.572275513,100.0,58.0,,,,,,,,8,,5,
UBCV,2014,W,PORT,201,,101,Second-Year Portuguese I,Jamille Barreto,7,84.714285714,4.680252333,90.0,79.0,,,,,,,,,,,
UBCV,2014,W,PORT,201,,OVERALL,Second-Year Portuguese I,,7,84.714285714,4.680252333,90.0,79.0,,,,,,,,,,,
UBCV,2014,W,PORT,202,,201,Second-Year Portuguese II,Jamille Barreto,9,87.111111111,5.464532104,96.0,76.0,,,,,,,,,,,
UBCV,2014,W,PORT,202,,OVERALL,Second-Year Portuguese II,,9,87.111111111,5.464532104,96.0,76.0,,,,,,,,,,,
UBCV,2014,W,PORT,301,,101,Advanced Portuguese,Alessandra Santos,5,82.4,4.615192304,87.0,77.0,,,,,,,,,,,
UBCV,2014,W,PORT,301,,OVERALL,Advanced Portuguese,,5,82.4,4.615192304,87.0,77.0,,,,,,,,,,,
UBCV,2014,W,PORT,392,,201,Studies in Portuguese and Brazilian Literature,Alessandra Santos,15,79.466666667,10.119759079,88.0,50.0,,,,,,,,,,7,
UBCV,2014,W,PORT,392,,OVERALL,Studies in Portuguese and Brazilian Literature,,15,79.466666667,10.119759079,88.0,50.0,,,,,,,,,,7,
