Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,EPSE,301,,074,Introduction to Educational Psychology,Kelly Cleeve,80,95.5,98.0,94.5,100.0,100,62,68,6,0,5,0,0,1,0,0,0,0
UBCV,2025,W,EPSE,303,,63A,Teaching Highly Able Learners,Ginaya Peters,35,91.7,92.0,90.0,95.0,98,78,27,7,1,0,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,303,,63B,Teaching Highly Able Learners,Eva Leung,35,91.3,93.0,89.5,94.5,98,80,26,4,0,5,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,312,,074,Introduction to the Study of Exceptional Children,Laurel Dosman,35,95.7,95.0,95.0,97.0,99,89,34,1,0,0,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,316,,075,Learning Disabilities,Joann Anokwuru,34,91.2,94.5,92.25,96.0,98,38,29,1,0,1,0,0,0,1,0,1,1
UBCV,2025,W,EPSE,320,,63A,Classroom Inclusion of Blind & Visually Impaired Students,David Rathwell,36,97.6,99.0,97.0,100.0,100,85,34,2,0,0,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,320,,63C,Classroom Inclusion of Blind & Visually Impaired Students,David Rathwell,36,98.6,99.0,99.0,100.0,100,82,35,0,0,1,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,348,,63A,Family-Centred Practice for Children with Special Needs,Mary Stewart,34,89.3,91.0,88.0,93.0,97,51,21,9,1,2,0,0,0,0,1,0,0
UBCV,2025,W,EPSE,348,,63C,Family-Centred Practice for Children with Special Needs,Michaela Wooldridge,34,85.9,88.5,85.25,92.75,97,0,16,11,1,3,2,0,0,0,0,0,1
UBCV,2025,W,EPSE,390,A,63C,Special Topics,Diana Chan,34,96.3,97.0,95.0,98.0,100,85,33,1,0,0,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,403,,63A,Education of Students with Developmental Disabilities in Inclusive Settings,Lara El Khatib,35,89.9,94.0,87.0,97.0,100,40,24,5,0,4,0,0,0,0,1,0,1
UBCV,2025,W,EPSE,403,,63B,Education of Students with Developmental Disabilities in Inclusive Settings,Lara El Khatib,34,92.6,94.5,90.0,97.0,98,77,27,3,1,3,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,403,,63D,Education of Students with Developmental Disabilities in Inclusive Settings,Lara El Khatib,34,93.1,95.0,90.25,97.0,99,71,27,4,0,2,0,0,0,0,0,1,0
UBCV,2025,W,EPSE,403,,63E,Education of Students with Developmental Disabilities in Inclusive Settings,Lara El Khatib,32,93.4,94.5,92.0,96.0,99,82,27,4,0,1,0,0,0,0,0,0,0
UBCV,2025,W,EPSE,403,,63F,Education of Students with Developmental Disabilities in Inclusive Settings,Pamela Neuman,25,89.3,91.0,87.0,94.0,99,72,15,6,1,1,2,0,0,0,0,0,0
