Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,SCIE,1,,001,Science One,,59,82.7,83.0,77.0,89.0,96,66,0,0,0,0,1,1,9,9,15,13,11
UBCV,2025,W,SCIE,113,,09A,First-Year Seminar in Science,Celine Ruscher,25,83.0,86.0,80.0,88.0,91,63,0,0,0,1,0,2,0,2,6,11,3
UBCV,2025,W,SCIE,113,,09B,First-Year Seminar in Science,John Pringle,26,81.2,81.5,81.0,83.0,84,76,0,0,0,0,0,0,0,5,21,0,0
UBCV,2025,W,SCIE,113,,09C,First-Year Seminar in Science,Sreeparna Vappala,26,84.8,85.5,82.25,88.75,92,73,0,0,0,0,0,0,2,2,7,9,6
UBCV,2025,W,SCIE,113,,09D,First-Year Seminar in Science,Nicola Fameli,26,87.5,88.0,85.25,89.75,95,79,0,0,0,0,0,0,0,1,5,13,7
UBCV,2025,W,SCIE,113,,09E,First-Year Seminar in Science,Donald Wong,26,81.0,82.0,78.0,83.75,88,68,0,0,0,0,0,1,1,6,14,4,0
UBCV,2025,W,SCIE,113,,09F,First-Year Seminar in Science,Rohan Karpe,26,84.3,84.0,83.0,85.75,89,80,0,0,0,0,0,0,0,0,15,11,0
UBCV,2025,W,SCIE,113,,09G,First-Year Seminar in Science,Olumuyiwa Igbalajobi,26,81.6,82.0,80.0,83.75,87,70,0,0,0,0,0,1,0,5,14,6,0
UBCV,2025,W,SCIE,113,,09H,First-Year Seminar in Science,Philippe Fernandez-Fournier,26,77.3,80.0,76.25,83.75,92,39,1,0,2,0,0,2,1,3,12,4,1
UBCV,2025,W,SCIE,113,,09I,First-Year Seminar in Science,Nelly Saber,25,81.3,83.0,78.0,86.0,95,45,1,0,0,0,0,1,1,6,8,4,4
UBCV,2025,W,SCIE,113,,09J,First-Year Seminar in Science,Celine Ruscher,25,83.2,84.0,82.0,86.0,91,72,0,0,0,0,0,0,3,2,9,10,1
UBCV,2025,W,SCIE,113,,09K,First-Year Seminar in Science,Alexis Bahl,26,79.5,82.0,78.0,87.75,93,0,1,0,0,0,0,1,3,2,9,7,3
UBCV,2025,W,SCIE,113,,09L,First-Year Seminar in Science,Nelly Saber,26,83.4,84.5,81.0,87.0,91,70,0,0,0,0,0,1,2,2,8,12,1
UBCV,2025,W,SCIE,113,,09M,First-Year Seminar in Science,Urmi Mody,26,83.2,87.0,84.25,87.75,90,11,1,0,0,0,0,0,0,0,6,17,2
UBCV,2025,W,SCIE,113,,09N,First-Year Seminar in Science,Sreeparna Vappala,25,82.5,85.0,81.0,89.0,94,43,1,0,0,0,2,0,1,1,5,10,5
UBCV,2025,W,SCIE,113,,09O,First-Year Seminar in Science,Rohan Karpe,25,80.7,82.0,81.0,84.0,85,43,1,0,0,0,0,0,0,2,19,3,0
UBCV,2025,W,SCIE,113,,09P,First-Year Seminar in Science,Olumuyiwa Igbalajobi,26,79.3,81.5,78.0,85.0,92,45,1,0,2,0,0,1,1,3,8,6,4
UBCV,2025,W,SCIE,113,,09Q,First-Year Seminar in Science,Noosha Mehdian,26,78.3,85.0,78.5,90.75,93,1,2,0,0,1,0,0,1,3,6,5,8
UBCV,2025,W,SCIE,113,,09R,First-Year Seminar in Science,William Mawhinney,26,72.7,77.0,74.0,82.0,91,0,2,0,0,0,2,2,4,5,6,2,3
UBCV,2025,W,SCIE,113,,09S,First-Year Seminar in Science,Paul Bucci,25,77.7,81.0,73.0,86.0,98,0,1,0,1,0,0,3,4,2,4,6,4
UBCV,2025,W,SCIE,113,,09T,First-Year Seminar in Science,Paula Littlejohn,23,82.0,84.0,77.0,88.5,97,46,1,0,0,0,1,1,3,1,5,6,5
UBCV,2025,W,SCIE,113,,10A,First-Year Seminar in Science,Celine Ruscher,24,83.0,85.5,80.75,87.5,94,46,1,0,0,0,0,0,1,3,6,8,5
UBCV,2025,W,SCIE,113,,10B,First-Year Seminar in Science,John Pringle,26,82.4,83.0,80.25,84.75,86,76,0,0,0,0,0,0,0,3,16,7,0
UBCV,2025,W,SCIE,113,,10C,First-Year Seminar in Science,Caitlin Donnelly,26,83.8,84.5,80.0,88.0,94,72,0,0,0,0,0,0,3,3,7,10,3
UBCV,2025,W,SCIE,113,,10D,First-Year Seminar in Science,Simin Bagheri Najmi,26,86.4,86.5,83.0,90.75,94,75,0,0,0,0,0,0,1,2,7,7,9
UBCV,2025,W,SCIE,113,,10E,First-Year Seminar in Science,Lizelle Odendaal,25,84.7,86.0,83.0,89.0,92,69,0,0,0,0,0,1,0,3,7,11,3
UBCV,2025,W,SCIE,113,,10F,First-Year Seminar in Science,Rohan Karpe,24,79.0,84.0,81.0,85.0,88,1,1,0,1,0,0,0,0,1,12,9,0
UBCV,2025,W,SCIE,113,,10G,First-Year Seminar in Science,Yuliya Kuzmenko,24,83.3,84.0,79.75,88.0,95,69,0,0,0,0,0,1,3,2,7,7,4
UBCV,2025,W,SCIE,113,,10H,First-Year Seminar in Science,Philippe Fernandez-Fournier,25,79.0,83.0,79.0,85.0,90,18,1,1,0,0,0,1,1,3,8,8,2
UBCV,2025,W,SCIE,113,,10I,First-Year Seminar in Science,Olumuyiwa Igbalajobi,24,76.4,77.5,73.0,82.0,85,58,0,0,1,1,1,1,5,4,9,2,0
UBCV,2025,W,SCIE,113,,10J,First-Year Seminar in Science,Celine Ruscher,28,83.8,86.0,81.75,89.0,94,45,1,0,0,0,0,0,1,4,6,10,6
UBCV,2025,W,SCIE,113,,10K,First-Year Seminar in Science,Montserrat Rueda Becerril,25,79.9,86.0,84.0,87.0,94,0,2,1,0,0,0,0,0,2,4,12,4
UBCV,2025,W,SCIE,113,,10L,First-Year Seminar in Science,Lauren Pugsley,25,85.6,86.0,82.0,90.0,96,69,0,0,0,0,0,1,0,1,9,7,7
UBCV,2025,W,SCIE,113,,10M,First-Year Seminar in Science,Lizelle Odendaal,26,84.1,86.0,82.0,88.0,94,67,0,0,0,0,1,2,0,2,6,9,6
UBCV,2025,W,SCIE,113,,10N,First-Year Seminar in Science,Donald Wong,26,75.3,81.0,71.5,84.0,92,32,2,0,1,1,0,3,2,3,9,4,1
UBCV,2025,W,SCIE,113,,10O,First-Year Seminar in Science,Meigan Aronson,26,81.6,87.0,81.25,88.75,96,4,1,0,0,0,0,2,2,1,5,9,6
UBCV,2025,W,SCIE,113,,10P,First-Year Seminar in Science,Yuliya Kuzmenko,26,72.3,82.0,74.25,87.0,87,12,4,0,0,1,0,1,1,2,7,10,0
UBCV,2025,W,SCIE,113,,11A,First-Year Seminar in Science,Mariana Pascual Robles,25,87.7,89.0,86.0,90.0,91,79,0,0,0,0,0,0,0,1,2,15,7
UBCV,2025,W,SCIE,113,,11B,First-Year Seminar in Science,Beth Volpov,25,83.0,85.0,82.0,86.0,87,69,0,0,0,0,0,1,1,2,8,13,0
UBCV,2025,W,SCIE,113,,11C,First-Year Seminar in Science,Thomas Whelan,26,82.8,84.0,81.0,86.0,93,60,0,0,0,1,0,0,0,4,9,10,2
UBCV,2025,W,SCIE,113,,11D,First-Year Seminar in Science,Niels Van Steenkiste,26,86.8,87.5,83.25,91.0,95,75,0,0,0,0,0,0,1,1,8,7,9
UBCV,2025,W,SCIE,113,,11E,First-Year Seminar in Science,Lizelle Odendaal,23,85.3,85.0,82.5,88.5,95,73,0,0,0,0,0,0,1,2,6,11,3
UBCV,2025,W,SCIE,113,,11F,First-Year Seminar in Science,William Mawhinney,24,80.4,84.0,79.75,86.25,93,22,1,0,0,0,1,1,1,2,7,9,2
UBCV,2025,W,SCIE,113,,11G,First-Year Seminar in Science,Enav Zusman,25,82.9,86.0,83.0,88.0,92,10,1,0,0,0,0,0,0,1,6,13,4
UBCV,2025,W,SCIE,113,,11H,First-Year Seminar in Science,Audrey Pearson,25,87.0,90.0,85.0,92.0,97,64,0,0,0,0,1,0,1,1,3,6,13
