Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,CENS,201,,101,"Contrasts and Conflicts: The Cultures of Central, Eastern and Northern Europe (in English)",David Gramling,69,81.4,83.0,77.0,90.0,97,37,22,11,8,12,3,0,4,2,2,4,1
UBCV,2025,W,CENS,201,,201,"Contrasts and Conflicts: The Cultures of Central, Eastern and Northern Europe (in English)",Florian Gassner,25,75.4,74.0,62.0,87.0,96,54,5,5,0,2,2,2,3,2,2,2,0
UBCV,2025,W,CENS,202,,101,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Thomas Kemple,37,77.1,80.0,76.0,82.0,91,20,2,4,9,13,4,1,1,0,0,2,1
UBCV,2025,W,CENS,202,,102,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Jason Lieblang,42,83.4,85.0,79.0,87.0,93,61,8,15,8,7,3,0,1,0,0,0,0
UBCV,2025,W,CENS,202,,201,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Olena Morozova,31,88.5,90.0,86.5,93.0,96,70,18,8,0,2,1,0,0,0,0,2,0
UBCV,2025,W,CENS,202,,202,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Gaby Pailer,28,91.1,91.0,90.0,94.0,95,84,22,5,0,1,0,0,0,0,0,0,0
UBCV,2025,W,CENS,202,,203,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Markus Hallensleben,48,80.4,83.5,75.5,88.0,98,34,8,14,5,9,4,0,1,2,2,2,1
UBCV,2025,W,CENS,203,,101,Arctic Art and Activism,Tim Frandy,37,78.9,81.0,74.0,84.0,91,61,1,7,6,11,6,0,1,1,0,4,0
UBCV,2025,W,CENS,203,,201,Arctic Art and Activism,Tim Frandy,36,79.3,79.5,75.75,86.0,90,56,3,7,9,8,5,1,0,2,0,1,0
UBCV,2025,W,CENS,304,,201,Representations of the Holocaust: Auschwitz,Bozena Karwowska,49,78.2,80.0,76.0,84.0,98,25,4,8,7,18,5,0,0,0,1,4,2
UBCV,2025,W,CENS,307,,101,Witches: Myth and Reality,Kyle Frackman,128,80.1,82.0,77.0,85.0,96,39,14,27,22,37,12,2,1,7,1,4,1
UBCV,2025,W,CENS,307,,201,Witches: Myth and Reality,Kyle Frackman,92,84.2,86.0,79.0,90.0,98,52,25,26,12,17,7,0,3,0,1,1,0
UBCV,2025,W,CENS,308,,101,"Comics and Graphic Novels in Central, Eastern and Northern Europe",Elizabeth Nijdam,50,83.3,86.0,80.25,90.0,95,50,14,14,1,12,4,1,1,1,1,1,0
UBCV,2025,W,CENS,319,,201,"Language, Place and Power",David Gramling,79,92.1,94.0,91.0,96.0,99,72,64,5,1,7,2,0,0,0,0,0,0
UBCV,2025,W,CENS,404,,101,"Gender and Nation: Women's State in Modern Central, Eastern and Northern European Literatures and Cultures",Gaby Pailer,18,90.8,92.0,88.5,92.75,93,86,13,5,0,0,0,0,0,0,0,0,0
