Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,BIOC,202,,001,Introductory Medical Biochemistry,Warren Williams; Michael Rowley,179,71.4,74.0,59.0,85.0,100,29,18,14,17,10,11,11,10,16,26,19,27
UBCV,2025,W,BIOC,202,,002,Introductory Medical Biochemistry,Warren Williams; Kate Hollinshead,411,71.3,73.0,62.0,82.0,98,16,25,22,38,27,30,40,47,39,67,56,20
UBCV,2025,W,BIOC,202,,003,Introductory Medical Biochemistry,Michael Krisinger,43,67.6,65.0,58.0,76.5,93,50,0,6,5,10,5,2,1,5,3,2,4
UBCV,2025,W,BIOC,202,,004,Introductory Medical Biochemistry,Warren Williams; Kate Hollinshead,107,67.7,68.0,58.5,78.0,93,22,10,9,9,8,16,7,13,11,12,7,5
UBCV,2025,W,BIOC,203,,001,Fundamentals of Biochemistry,Lindsay Rogers; Nina Radisavljevic,139,73.2,74.0,66.0,81.0,96,0,1,5,6,11,16,21,15,26,15,16,7
UBCV,2025,W,BIOC,301,,001,Biochemistry Laboratory,Jason Read,131,81.9,83.0,78.0,88.0,96,45,1,1,2,2,3,3,10,20,35,34,20
UBCV,2025,W,BIOC,302,,102,General Biochemistry,Lindsay Rogers; Jerry Leung,176,83.1,85.0,78.0,91.0,97,3,1,2,2,2,7,4,12,22,31,38,55
UBCV,2025,W,BIOC,302,,202,General Biochemistry,Eden Fussner-Dupas,176,79.6,81.0,72.75,90.0,100,2,4,4,4,8,7,12,15,17,33,19,53
UBCV,2025,W,BIOC,303,,001,Molecular Biochemistry,Franck Duong; Eden Fussner-Dupas; Sheila Teves; Thibault Mayor,108,75.7,77.0,70.0,83.0,94,39,2,0,4,3,10,15,15,17,23,12,7
UBCV,2025,W,BIOC,306,,001,Quantitative Methods in Biochemistry,Leonard Foster; Joerg Gsponer; Ethan Greenblatt; Emilia Lim,106,73.4,73.0,66.0,82.75,97,38,3,8,5,5,13,12,15,12,9,9,15
UBCV,2025,W,BIOC,402,,101,Proteins: Structure and Function,Calvin Yip; Seth Parker,136,75.9,76.5,69.0,85.0,96,46,3,3,8,8,6,15,20,18,20,18,17
UBCV,2025,W,BIOC,404,,001,Biochemical Methods,Corinna Schindler; Ethan Greenblatt; Vivien Measday; Hugh Kim; Dieter Bromme; Sriram Subramaniam,19,92.3,93.0,90.5,95.0,97,85,0,0,0,0,0,0,0,0,0,4,15
UBCV,2025,W,BIOC,410,,101,Nucleic Acids-Structure and Function,Annie Ciernia; Ivan Sadowski; Eric Jan,116,72.1,72.5,65.75,79.0,92,50,0,6,6,10,18,14,16,18,12,14,2
UBCV,2025,W,BIOC,420,,101,Advanced Biochemical Techniques,Scott Covey,12,86.6,87.0,80.0,91.0,97,78,0,0,0,0,0,0,0,1,3,4,4
UBCV,2025,W,BIOC,420,,102,Advanced Biochemical Techniques,Scott Covey,13,88.5,89.0,86.0,92.0,96,78,0,0,0,0,0,0,0,2,0,5,6
UBCV,2025,W,BIOC,421,,201,Recombinant DNA Techniques,Scott Covey,16,81.7,81.0,78.75,84.5,94,65,0,0,0,0,1,0,0,4,7,2,2
UBCV,2025,W,BIOC,421,,202,Recombinant DNA Techniques,Scott Covey,16,81.5,80.0,78.25,87.75,98,66,0,0,0,0,1,2,0,4,3,2,4
UBCV,2025,W,BIOC,430,A,201,Advanced Topics in Protein Biochemistry,Nobuhiko Tokuriki; Natalie Strynadka; Joerg Gsponer,17,80.8,80.0,79.0,85.0,98,64,0,0,0,0,1,2,1,1,5,6,1
UBCV,2025,W,BIOC,440,,001,Concepts in Molecular Biology,Ivan Sadowski; Eric Jan; Carol Chen; Michael Krisinger,17,81.4,82.0,80.0,85.0,97,67,0,0,0,0,1,2,0,1,8,3,2
UBCV,2025,W,BIOC,448,B,001,Directed Studies in Biochemistry,Lindsay Rogers,11,90.1,91.0,89.0,92.0,93,85,0,0,0,0,0,0,0,0,0,3,8
UBCV,2025,W,BIOC,449,C,001,Honours Thesis,Lindsay Rogers,18,90.3,90.5,89.0,92.0,95,87,0,0,0,0,0,0,0,0,0,6,12
UBCV,2025,W,BIOC,450,,001,Membrane Biochemistry,Calvin Yip; Harry Brumer; Filip Van Petegem; Natalie Strynadka; Sriram Subramaniam,44,74.9,77.5,66.5,82.5,97,54,0,2,2,4,4,2,6,8,6,9,1
UBCV,2025,W,BIOC,460,,001,Advanced Techniques in Biochemistry,Ethan Greenblatt; Christopher Mark Overall; Alice Mui; Shoukat Dedhar; Sheila Teves,17,87.0,88.0,84.0,91.0,95,67,0,0,0,0,1,0,0,1,3,4,8
UBCV,2025,W,BIOC,470,,001,Biochemistry & Society: Current Issues,Lindsay Rogers,67,85.2,86.0,83.5,88.0,93,69,0,0,0,0,0,2,1,3,16,38,7
