Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2025,W,GMST,121,,101,Fairy Tales and Popular Culture,Elizabeth Nijdam,113,90.0,93.0,89.0,95.0,98,8,1,0,1,0,1,0,1,3,12,10,84
UBCV,2025,W,GMST,121,,201,Fairy Tales and Popular Culture,Elizabeth Nijdam,92,83.6,86.0,80.75,91.0,95,19,1,0,0,2,2,2,9,6,18,23,29
UBCV,2025,W,GMST,274,,101,The Frankfurt School,Ilinca Iurascu,73,83.0,86.0,78.0,92.0,97,50,0,3,2,1,3,5,1,7,11,9,31
UBCV,2025,W,GMST,325,,101,The Culture of Nazism,Geoffrey Winthrop-Young,67,80.9,83.0,77.0,87.0,94,47,1,1,0,2,2,6,2,10,14,17,12
UBCV,2025,W,GMST,335,,101,German Cinema,Florian Gassner,72,77.2,80.0,66.75,88.0,99,50,0,1,8,5,5,8,3,5,9,16,12
UBCV,2025,W,GMST,335,,201,German Cinema,Ilinca Iurascu,54,83.9,86.0,81.25,90.0,97,47,1,0,0,3,1,0,1,5,10,17,16
UBCV,2025,W,GMST,341,,201,Germanophone Literature before 1900,Ilinca Iurascu,6,87.0,90.5,90.0,91.75,95,64,0,0,0,0,1,0,0,0,0,0,5
UBCV,2025,W,GMST,346,,201,Germanophone Literature 1900-1945,Thomas Kemple,11,84.4,85.0,81.5,87.5,91,77,0,0,0,0,0,0,0,1,4,5,1
UBCV,2025,W,GMST,347,,201,Germanophone Literature after 1945,Markus Hallensleben,9,87.3,87.0,86.0,88.0,95,81,0,0,0,0,0,0,0,0,1,7,1
UBCV,2025,W,GMST,371,,201,"Marx, Nietzsche and Freud in Cultural Context",Florian Gassner,39,79.7,82.0,77.5,89.5,98,38,1,4,0,0,1,1,1,5,13,3,10
UBCV,2025,W,GMST,424,,201,Selected Issues in German-speaking Culture,Geoffrey Winthrop-Young,13,85.0,85.0,84.0,86.0,90,79,0,0,0,0,0,0,0,1,5,5,2
UBCV,2025,W,GMST,445,,101,Words and Music in Germanophone Literature,Florian Gassner,13,82.4,84.0,75.0,95.0,98,57,0,0,2,0,0,0,2,0,3,2,4
UBCV,2025,W,GMST,475,,201,German Media Studies,Elizabeth Nijdam,50,82.7,86.5,77.5,90.75,95,53,0,2,1,0,1,3,3,6,5,12,17
